,R_29,N_5,R_15,R_27,R_24,R_30,N_20,R_17,N_3,N_23,N_4,R_28,N_1,R_12,R_13,N_9,N_22,N_2,N_0,N_7,R_14,N_10,R_25,R_16,N_19,N_8,R_21,R_26,N_6,R_11,R_31,N_18
42_SCORE: C4BPA,0.4742100066624069,0.5441178319957387,0.5441178319957387,0.46941178457048205,0.42129836127695863,0.44346632648440054,0.533993934506632,0.0,0.40082721448155506,0.4474318406708825,1.0,0.46228427627135243,0.5976469223738782,0.46255778182495283,0.3894807325625038,0.4790579724113589,0.19022927760702435,0.4741398564439028,0.5834980536005722,0.8090809663910437,0.4455349921803369,0.51588988560644,0.5109228975005755,0.6485480701674966,0.29243418059987714,0.47246234361694694,0.5635280811926208,0.6299537067474847,0.5017771545723003,0.8102157542028089,0.5568719047271528,0.360498415934274
43_SCORE: CD48,0.7180915513670735,0.47604455792149736,1.0,0.7123361174265914,0.5151021568402364,0.7629151926495685,0.45952786190059924,0.8878338699195304,0.9544587906787689,0.6545611854255291,0.1617631948404405,0.676916742625388,0.4396235461863808,0.6711030974796014,0.6357520263397543,0.5749815700976932,0.5722942796996692,0.42351967412293035,0.5157165968346116,0.5290778727299594,0.44818571140197455,0.5467142550247517,0.6445414432796284,0.0,0.3023184884164128,0.3525583392632554,0.8025114729635877,0.06709347567572388,0.5557472798984658,0.34217089160723324,0.7825233972639172,0.3806970560759157
44_SCORE: SELL,0.6211774565549414,0.4905649329854551,0.4919424955343421,0.7661708562241238,0.947065773831312,0.633689457442848,1.0,0.5191076848494276,0.48076379292318866,0.5845159828151145,0.57658938675361,0.7951872167337917,0.8614122452234179,0.6427183186185428,0.7097170725925608,0.6424013691648792,0.05245165099297938,0.5243001976462437,0.45785990676664545,0.4571449401643846,0.7763314902150311,0.735584215351216,0.8075377110402082,0.0,0.9533142936693972,0.7812587185520058,0.8326434086581885,0.06425570979857725,0.23394574755235442,0.3224375715463601,0.8294667644207641,0.14783951816692292
45_SCORE: CD19,0.22086623059286864,0.579970097939102,0.4161652473955113,0.6085814601346108,0.8623165567052911,0.7447175621990074,1.0,0.2674054680960821,0.4553875550002989,0.24724325063888486,0.8065577966220867,0.7134320229176687,0.8075994633806503,0.18831382256891205,0.9209403793240101,0.29752959473157337,0.0774352212159029,0.1457924753318755,0.0,0.5653828243597377,0.5154389211437714,0.2625222307345051,0.36323674716087334,0.5943825862273515,0.21588569620261205,0.8530050403042714,0.2407886693170212,0.5537858957642785,0.6900936021542196,0.5008499583727285,0.25628212370275893,0.49841880234562475
46_SCORE: DMBT1,0.13340803170929932,0.21588628844009572,0.12776707234586882,0.14899464703162324,0.0529500141796323,0.1135644436731121,0.0005150435200204917,0.17645589250269733,0.26148401782557257,0.0691148719277829,0.6105766704917898,0.07791711074979463,0.14307336511917496,0.1343482658889241,0.10594670024984504,0.06475808336977418,0.04501163668674496,0.4648973306195965,0.05514068550563303,0.5565027244467848,0.0,0.14939070837024168,0.11065736208808344,0.2580383289177226,0.46552104148954,0.19333659861312016,0.199682248739699,0.2456724252788951,0.25664787732592403,0.8751744284336235,0.18841785778461037,1.0
47_SCORE: CCL25,0.5216614205956918,0.3863907639787042,0.41873063482894735,0.48084820696216113,0.2341964936762295,0.4751302231590484,0.40944800893030603,0.0,0.1830865792116202,0.369659820433834,0.28107663293422713,0.29577712562803515,0.4678115862322465,0.5388179070509793,0.505380791766867,0.35907709347397465,0.2567793772690715,0.4055961912877951,0.43115289550533975,0.32223628931025294,0.4144582982656396,0.3719562193148593,0.43524154433603024,0.42036108309629405,0.4015198283172847,0.4605448276141344,0.4519618609128557,0.4322037940992316,0.5538861002837128,0.29950037330213863,0.4498462257247845,1.0
48_SCORE: CCL21,0.24212091990410972,0.4166932080192831,0.0,0.5612939925022647,1.0,0.4818467370926779,0.8783822161445072,0.2406555232107096,0.3532065842594633,0.16981744587532893,0.48505413207407433,0.666291388860978,0.8202161142066778,0.28247759504200326,0.7402907827045537,0.22869918910696443,0.16217128455868163,0.14623885688690474,0.2907230251094799,0.6127849776222347,0.3610500329024458,0.24650401747329026,0.35522067888170356,0.4393509191992099,0.28502499744974574,0.8207638805124844,0.35053090884601784,0.4236675218225029,0.6865001375509533,0.4247761238981028,0.3511243092440227,0.42520250181933505
49_SCORE: CTLA4,0.16774707079835632,0.9750891639480317,0.5277282566438428,0.594804357496529,0.9266069690570768,0.7703600860398346,0.9006549618887555,0.553571981029092,0.7579690778562092,0.30352698455173616,0.8642877141862179,0.7934977079247353,0.8172975471346384,0.10774546590327516,0.9004984614943718,0.40578777434519087,0.12558741264590756,0.0,0.9999999999999998,0.6368122994068767,0.6340119684397382,0.2609582112900152,0.4128145646419862,0.5667555323503184,0.3119409004161325,0.9139714169922921,0.23485917668459383,0.5208660395976594,0.967553621075421,0.5604391557185977,0.2573760159405768,0.5322124662856799
50_SCORE: CMA1,0.5047853409131022,0.5992227020355145,0.7611531517336354,0.5195168378477724,0.27345386260814664,0.5753937991540302,0.5371271483301168,0.6555107690813471,0.5923271687538019,0.6828216813355081,0.0,0.43620331503570187,0.5818125265955361,0.4620539963386858,0.47575963149195444,1.0,0.8290588980734953,0.17994590283783635,0.9182060967656964,0.19351471281379506,0.5373151087943284,0.4882168017178833,0.5560041008266102,0.5089270024234104,0.561790226222901,0.3990944022010474,0.5710395703689118,0.5042408775859532,0.42830657324341587,0.0966026701012705,0.5691371202396507,0.3514828416997746
"6_SCORE: KIT, LIF",0.5156691892244364,0.9592752334815478,0.17659991656546503,0.5594815357062308,0.12666259855032314,0.3603101225697919,0.23019551487971213,0.43331569458063923,0.11094920221711496,0.8656025879163838,0.4137081053695039,0.14332711158916406,0.0,0.572185199866389,0.4588452068715397,0.7033432739265627,0.5598371165523353,0.9999999999999999,0.5632660850872484,0.5700421603142887,0.631405521059669,0.53182168160492,0.6572142660901377,0.509910937490495,0.7663847864479767,0.37679732949940453,0.67797764375975,0.5161368016291537,0.48190384127099317,0.5378530759022095,0.6753504367795946,0.6670612976850054
